date,dii_net_investment
2014-01-01,-1455.5
2014-02-01,667.7
2014-03-01,-13130.8
2014-04-01,-6859.0
2014-05-01,-4136.0
2014-06-01,-4412.7
2014-07-01,-3216.5
2014-08-01,2335.5
2014-09-01,-1137.0
2014-10-01,4102.9
2014-11-01,-7271.3
2014-12-01,5955.8
2015-01-01,-6531.8
2015-02-01,1711.9
2015-03-01,194.8
2015-04-01,11511.5
2015-05-01,8582.3
2015-06-01,12026.6
2015-07-01,72.3
2015-08-01,16437.5
2015-09-01,10273.1
2015-10-01,-1518.9
2015-11-01,8500.0
2015-12-01,6327.6
2016-01-01,12874.9
2016-02-01,10491.6
2016-03-01,-16891.9
2016-04-01,-2554.4
2016-05-01,6758.1
2016-06-01,-2173.6
2016-07-01,-6054.6
2016-08-01,-4406.3
2016-09-01,1999.2
2016-10-01,7906.4
2016-11-01,18277.0
2016-12-01,9136.1
2017-01-01,4503.9
2017-02-01,935.3
2017-03-01,-4395.6
2017-04-01,9247.4
2017-05-01,4277.1
2017-06-01,6676.1
2017-07-01,4786.4
2017-08-01,16205.2
2017-09-01,21025.5
2017-10-01,10090.9
2017-11-01,9243.2
2017-12-01,8142.9
2018-01-01,398.7
2018-02-01,17813.0
2018-03-01,6693.9
2018-04-01,8663.9
2018-05-01,15054.5
2018-06-01,14146.2
2018-07-01,3845.9
2018-08-01,2822.7
2018-09-01,12504.0
2018-10-01,26033.9
2018-11-01,1309.5
2018-12-01,375.6
2019-01-01,2146.9
2019-02-01,-565.9
2019-03-01,-13930.2
2019-04-01,-4219.5
2019-05-01,5316.3
2019-06-01,3643.3
2019-07-01,20394.5
2019-08-01,20933.6
2019-09-01,12490.8
2019-10-01,4758.5
2019-11-01,-7970.3
2019-12-01,-740.8
2020-01-01,1073.5
2020-02-01,16933.0
2020-03-01,55595.2
2020-04-01,-117.0
2020-05-01,12293.2
2020-06-01,2434.4
2020-07-01,-10007.9
2020-08-01,-11046.8
2020-09-01,110.3
2020-10-01,-17318.4
2020-11-01,-48319.2
2020-12-01,-37293.5
2021-01-01,-11970.5
2021-02-01,-16358.1
2021-03-01,5204.4
2021-04-01,11088.6
2021-05-01,2067.2
2021-06-01,7043.5
2021-07-01,18393.9
2021-08-01,6894.7
2021-09-01,5948.8
2021-10-01,4471.0
2021-11-01,30560.3
2021-12-01,31231.0
2022-01-01,21928.4
2022-02-01,42084.1
2022-03-01,39677.0
2022-04-01,30842.5
2022-05-01,50835.5
2022-06-01,46599.2
2022-07-01,10546.0
2022-08-01,-7068.6
2022-09-01,14119.8
2022-10-01,9277.0
2022-11-01,-6301.3
2022-12-01,24159.1
2023-01-01,33411.8
2023-02-01,19239.3
2023-03-01,30548.8
2023-04-01,2216.6
2023-05-01,-3306.4
2023-06-01,4458.2
2023-07-01,-2697.7
2023-08-01,25017.0
2023-09-01,20312.6
2023-10-01,28254.0
2023-11-01,14253.7
2023-12-01,12942.2
2024-01-01,26743.6
2024-02-01,25379.3
2024-03-01,56311.6
2024-04-01,44186.3
2024-05-01,55733.0
2024-06-01,28633.2
2024-07-01,23486.0
2024-08-01,48278.6
2024-09-01,31860.2
2024-10-01,107254.7
2024-11-01,44483.9
2024-12-01,34194.7
2025-01-01,86591.8
2025-02-01,64853.2
2025-03-01,37585.7
2025-04-01,28228.4
2025-05-01,67642.3
2025-06-01,72673.9
2025-07-01,60939.2
2025-08-01,94828.6
2025-09-01,65343.6
2025-10-01,52794.0
2025-11-01,77083.8
2025-12-01,79619.9
2026-01-01,69220.7
2026-02-01,38423.1
2026-03-01,119069.7
