date,fii_net_investment
2014-01-01,-1265.9
2014-02-01,1419.9
2014-03-01,25376.4
2014-04-01,6283.2
2014-05-01,11802.8
2014-06-01,7331.9
2014-07-01,6964.6
2014-08-01,2681.5
2014-09-01,1503.1
2014-10-01,-1682.9
2014-11-01,10945.6
2014-12-01,-3936.8
2015-01-01,8540.8
2015-02-01,6746.2
2015-03-01,6580.7
2015-04-01,7864.4
2015-05-01,-4796.2
2015-06-01,-8192.9
2015-07-01,2298.0
2015-08-01,-19772.1
2015-09-01,-11279.3
2015-10-01,3026.7
2015-11-01,-9029.8
2015-12-01,-2360.0
2016-01-01,-14356.0
2016-02-01,-12513.1
2016-03-01,24201.5
2016-04-01,2936.3
2016-05-01,38.4
2016-06-01,3958.0
2016-07-01,10122.7
2016-08-01,8778.3
2016-09-01,3329.6
2016-10-01,-5770.2
2016-11-01,-19982.4
2016-12-01,-11325.3
2017-01-01,-1901.3
2017-02-01,8704.5
2017-03-01,26473.2
2017-04-01,-6627.6
2017-05-01,-452.5
2017-06-01,-4051.4
2017-07-01,1464.8
2017-08-01,-15995.6
2017-09-01,-23970.0
2017-10-01,-7826.5
2017-11-01,-13514.8
2017-12-01,-6411.6
2018-01-01,9568.0
2018-02-01,-18619.2
2018-03-01,7904.8
2018-04-01,-9620.6
2018-05-01,-12359.7
2018-06-01,-10249.2
2018-07-01,-2768.8
2018-08-01,-2228.5
2018-09-01,-9468.7
2018-10-01,-29201.2
2018-11-01,4934.1
2018-12-01,-1103.4
2019-01-01,127.7
2019-02-01,13564.6
2019-03-01,32371.4
2019-04-01,12749.6
2019-05-01,-2135.8
2019-06-01,-688.5
2019-07-01,-16870.1
2019-08-01,-14828.8
2019-09-01,-6624.0
2019-10-01,8595.7
2019-11-01,12924.9
2019-12-01,694.1
2020-01-01,-5359.5
2020-02-01,-12684.3
2020-03-01,-65816.7
2020-04-01,-5208.5
2020-05-01,13914.5
2020-06-01,5493.0
2020-07-01,2490.2
2020-08-01,15749.9
2020-09-01,-11410.7
2020-10-01,14537.4
2020-11-01,65317.1
2020-12-01,48223.9
2021-01-01,8980.8
2021-02-01,42044.5
2021-03-01,1245.2
2021-04-01,-12692.9
2021-05-01,-6015.3
2021-06-01,-25.9
2021-07-01,-23193.4
2021-08-01,-2568.5
2021-09-01,913.8
2021-10-01,-25572.2
2021-11-01,-39901.9
2021-12-01,-35493.6
2022-01-01,-41346.4
2022-02-01,-45720.1
2022-03-01,-43281.3
2022-04-01,-40652.8
2022-05-01,-54292.5
2022-06-01,-58112.4
2022-07-01,-6567.7
2022-08-01,22025.6
2022-09-01,-18308.3
2022-10-01,-489.1
2022-11-01,22546.3
2022-12-01,-14231.1
2023-01-01,-41464.7
2023-02-01,-11090.6
2023-03-01,1997.7
2023-04-01,5711.8
2023-05-01,27856.5
2023-06-01,27250.0
2023-07-01,15533.2
2023-08-01,-20620.6
2023-09-01,-26692.2
2023-10-01,-30827.2
2023-11-01,3875.8
2023-12-01,31959.8
2024-01-01,-35977.8
2024-02-01,-15962.7
2024-03-01,3314.5
2024-04-01,-35692.2
2024-05-01,-42214.3
2024-06-01,2037.5
2024-07-01,5407.8
2024-08-01,-21368.5
2024-09-01,15423.3
2024-10-01,-114445.9
2024-11-01,-45974.1
2024-12-01,-16982.5
2025-01-01,-87374.7
2025-02-01,-58988.1
2025-03-01,2014.2
2025-04-01,2735.0
2025-05-01,11773.2
2025-06-01,7489.0
2025-07-01,-47666.7
2025-08-01,-46902.9
2025-09-01,-35301.4
2025-10-01,-2346.9
2025-11-01,-17500.3
2025-12-01,-34349.6
2026-01-01,-41435.2
2026-02-01,-6640.8
2026-03-01,-105204.7
