date,repo_rate
2015-01-01,8.0
2015-01-04,7.5
2015-01-05,7.5
2015-01-06,7.5
2015-01-07,7.25
2015-01-09,7.25
2015-01-10,6.75
2015-01-12,6.75
2015-02-01,8.0
2015-02-02,7.75
2015-02-03,7.75
2015-02-04,7.5
2015-02-06,7.25
2015-02-07,7.25
2015-02-09,7.25
2015-02-10,6.75
2015-02-11,6.75
2015-02-12,6.75
2015-03-02,7.75
2015-03-03,7.75
2015-03-04,7.5
2015-03-06,7.25
2015-03-07,7.25
2015-03-08,7.25
2015-03-09,7.25
2015-03-11,6.75
2015-03-12,6.75
2015-04-02,7.75
2015-04-03,7.5
2015-04-05,7.5
2015-04-06,7.25
2015-04-08,7.25
2015-04-09,7.25
2015-04-11,6.75
2015-04-12,6.75
2015-05-01,8.0
2015-05-02,7.75
2015-05-03,7.5
2015-05-05,7.5
2015-05-06,7.25
2015-05-08,7.25
2015-05-10,6.75
2015-05-11,6.75
2015-06-01,8.0
2015-06-02,7.75
2015-06-03,7.5
2015-06-04,7.5
2015-06-05,7.5
2015-06-07,7.25
2015-06-08,7.25
2015-06-10,6.75
2015-06-11,6.75
2015-07-01,8.0
2015-07-04,7.5
2015-07-05,7.5
2015-07-07,7.25
2015-07-08,7.25
2015-07-09,7.25
2015-07-10,6.75
2015-07-12,6.75
2015-08-01,8.0
2015-08-04,7.5
2015-08-05,7.5
2015-08-06,7.25
2015-08-07,7.25
2015-08-09,7.25
2015-08-10,6.75
2015-08-12,6.75
2015-09-01,8.0
2015-09-02,7.75
2015-09-03,7.5
2015-09-04,7.5
2015-09-06,7.25
2015-09-07,7.25
2015-09-09,7.25
2015-09-10,6.75
2015-09-11,6.75
2015-09-12,6.75
2015-10-02,7.75
2015-10-03,7.5
2015-10-04,7.5
2015-10-06,7.25
2015-10-07,7.25
2015-10-08,7.25
2015-10-09,7.25
2015-10-11,6.75
2015-10-12,6.75
2015-11-02,7.75
2015-11-03,7.5
2015-11-05,7.5
2015-11-06,7.25
2015-11-08,7.25
2015-11-09,7.25
2015-11-11,6.75
2015-11-12,6.75
2015-12-01,8.0
2015-12-02,7.75
2015-12-03,7.5
2015-12-05,7.5
2015-12-06,7.25
2015-12-08,7.25
2015-12-10,6.75
2015-12-11,6.75
2016-01-01,6.75
2016-01-02,6.75
2016-01-03,6.75
2016-01-04,6.75
2016-01-06,6.5
2016-01-07,6.5
2016-01-08,6.5
2016-01-09,6.5
2016-01-11,6.25
2016-01-12,6.25
2016-02-02,6.75
2016-02-03,6.75
2016-02-05,6.5
2016-02-06,6.5
2016-02-08,6.5
2016-02-09,6.5
2016-02-11,6.25
2016-02-12,6.25
2016-03-02,6.75
2016-03-03,6.75
2016-03-05,6.5
2016-03-06,6.5
2016-03-08,6.5
2016-03-10,6.5
2016-03-11,6.25
2016-04-01,6.75
2016-04-02,6.75
2016-04-03,6.75
2016-04-04,6.75
2016-04-05,6.5
2016-04-07,6.5
2016-04-08,6.5
2016-04-10,6.25
2016-04-11,6.25
2016-05-01,6.75
2016-05-02,6.75
2016-05-04,6.5
2016-05-05,6.5
2016-05-07,6.5
2016-05-08,6.5
2016-05-09,6.5
2016-05-10,6.25
2016-05-12,6.25
2016-06-01,6.75
2016-06-04,6.5
2016-06-05,6.5
2016-06-06,6.5
2016-06-07,6.5
2016-06-09,6.5
2016-06-10,6.25
2016-06-12,6.25
2016-07-01,6.75
2016-07-03,6.75
2016-07-04,6.5
2016-07-06,6.5
2016-07-07,6.5
2016-07-09,6.5
2016-07-10,6.25
2016-07-11,6.25
2016-07-12,6.25
2016-08-01,6.75
2016-08-02,6.75
2016-08-03,6.75
2016-08-04,6.5
2016-08-06,6.5
2016-08-07,6.5
2016-08-08,6.5
2016-08-09,6.5
2016-08-11,6.25
2016-08-12,6.25
2016-09-02,6.75
2016-09-03,6.75
2016-09-05,6.5
2016-09-06,6.5
2016-09-08,6.5
2016-09-09,6.5
2016-09-11,6.25
2016-09-12,6.25
2016-10-02,6.75
2016-10-03,6.75
2016-10-05,6.5
2016-10-06,6.5
2016-10-08,6.5
2016-10-10,6.25
2016-10-11,6.25
2016-11-01,6.75
2016-11-02,6.75
2016-11-03,6.75
2016-11-04,6.5
2016-11-05,6.5
2016-11-07,6.5
2016-11-08,6.5
2016-11-10,6.25
2016-11-11,6.25
2016-12-01,6.75
2016-12-02,6.75
2016-12-04,6.5
2016-12-05,6.5
2016-12-07,6.5
2016-12-08,6.5
2016-12-09,6.5
2016-12-10,6.25
2016-12-12,6.25
2017-01-02,6.25
2017-01-03,6.25
2017-01-05,6.25
2017-01-06,6.25
2017-01-08,6.25
2017-01-09,6.0
2017-01-11,6.0
2017-01-12,6.0
2017-02-01,6.25
2017-02-02,6.25
2017-02-03,6.25
2017-02-05,6.25
2017-02-06,6.25
2017-02-08,6.0
2017-02-10,6.0
2017-02-11,6.0
2017-03-01,6.25
2017-03-02,6.25
2017-03-03,6.25
2017-03-04,6.25
2017-03-05,6.25
2017-03-07,6.25
2017-03-08,6.0
2017-03-10,6.0
2017-03-11,6.0
2017-04-01,6.25
2017-04-04,6.25
2017-04-05,6.25
2017-04-07,6.25
2017-04-08,6.0
2017-04-09,6.0
2017-04-10,6.0
2017-04-12,6.0
2017-05-01,6.25
2017-05-04,6.25
2017-05-05,6.25
2017-05-06,6.25
2017-05-07,6.25
2017-05-09,6.0
2017-05-10,6.0
2017-05-12,6.0
2017-06-01,6.25
2017-06-02,6.25
2017-06-03,6.25
2017-06-04,6.25
2017-06-06,6.25
2017-06-07,6.25
2017-06-09,6.0
2017-06-10,6.0
2017-06-11,6.0
2017-06-12,6.0
2017-07-02,6.25
2017-07-03,6.25
2017-07-04,6.25
2017-07-06,6.25
2017-07-07,6.25
2017-07-08,6.0
2017-07-09,6.0
2017-07-11,6.0
2017-07-12,6.0
2017-08-02,6.25
2017-08-03,6.25
2017-08-05,6.25
2017-08-06,6.25
2017-08-08,6.0
2017-08-09,6.0
2017-08-11,6.0
2017-08-12,6.0
2017-09-01,6.25
2017-09-02,6.25
2017-09-03,6.25
2017-09-05,6.25
2017-09-06,6.25
2017-09-08,6.0
2017-09-10,6.0
2017-09-11,6.0
2017-10-01,6.25
2017-10-02,6.25
2017-10-03,6.25
2017-10-04,6.25
2017-10-05,6.25
2017-10-07,6.25
2017-10-08,6.0
2017-10-10,6.0
2017-10-11,6.0
2017-11-01,6.25
2017-11-04,6.25
2017-11-05,6.25
2017-11-07,6.25
2017-11-08,6.0
2017-11-09,6.0
2017-11-10,6.0
2017-11-12,6.0
2017-12-01,6.25
2017-12-04,6.25
2017-12-05,6.25
2017-12-06,6.25
2017-12-07,6.25
2017-12-09,6.0
2017-12-10,6.0
2017-12-12,6.0
2018-01-01,6.0
2018-01-02,6.0
2018-01-03,6.0
2018-01-05,6.0
2018-01-06,6.0
2018-01-08,6.5
2018-01-10,6.5
2018-01-11,6.5
2018-02-01,6.0
2018-02-02,6.0
2018-02-03,6.0
2018-02-04,6.0
2018-02-05,6.0
2018-02-07,6.25
2018-02-08,6.5
2018-02-10,6.5
2018-02-11,6.5
2018-03-01,6.0
2018-03-04,6.0
2018-03-05,6.0
2018-03-07,6.25
2018-03-08,6.5
2018-03-09,6.5
2018-03-10,6.5
2018-03-12,6.5
2018-04-01,6.0
2018-04-04,6.0
2018-04-05,6.0
2018-04-06,6.0
2018-04-07,6.25
2018-04-09,6.5
2018-04-10,6.5
2018-04-12,6.5
2018-05-01,6.0
2018-05-02,6.0
2018-05-03,6.0
2018-05-04,6.0
2018-05-06,6.0
2018-05-07,6.25
2018-05-09,6.5
2018-05-10,6.5
2018-05-11,6.5
2018-05-12,6.5
2018-06-02,6.0
2018-06-03,6.0
2018-06-04,6.0
2018-06-06,6.25
2018-06-07,6.25
2018-06-08,6.5
2018-06-09,6.5
2018-06-11,6.5
2018-06-12,6.5
2018-07-02,6.0
2018-07-03,6.0
2018-07-05,6.0
2018-07-06,6.25
2018-07-08,6.5
2018-07-09,6.5
2018-07-11,6.5
2018-07-12,6.5
2018-08-01,6.0
2018-08-02,6.0
2018-08-03,6.0
2018-08-05,6.0
2018-08-06,6.25
2018-08-08,6.5
2018-08-10,6.5
2018-08-11,6.5
2018-09-01,6.0
2018-09-02,6.0
2018-09-03,6.0
2018-09-04,6.0
2018-09-05,6.0
2018-09-07,6.25
2018-09-08,6.5
2018-09-10,6.5
2018-09-11,6.5
2018-10-01,6.0
2018-10-04,6.0
2018-10-05,6.0
2018-10-07,6.25
2018-10-08,6.5
2018-10-09,6.5
2018-10-10,6.5
2018-10-12,6.5
2018-11-01,6.0
2018-11-04,6.0
2018-11-05,6.0
2018-11-06,6.25
2018-11-07,6.25
2018-11-09,6.5
2018-11-10,6.5
2018-11-12,6.5
2018-12-01,6.0
2018-12-02,6.0
2018-12-03,6.0
2018-12-04,6.0
2018-12-06,6.25
2018-12-07,6.25
2018-12-09,6.5
2018-12-10,6.5
2018-12-11,6.5
2018-12-12,6.5
2019-01-01,6.5
2019-01-02,6.5
2019-01-03,6.25
2019-01-04,6.25
2019-01-05,6.0
2019-01-07,5.75
2019-01-08,5.75
2019-01-10,5.4
2019-01-11,5.15
2019-02-01,6.5
2019-02-04,6.25
2019-02-05,6.0
2019-02-07,5.75
2019-02-08,5.75
2019-02-09,5.4
2019-02-10,5.4
2019-02-12,5.15
2019-03-01,6.5
2019-03-04,6.25
2019-03-05,6.0
2019-03-06,6.0
2019-03-07,5.75
2019-03-09,5.4
2019-03-10,5.4
2019-03-12,5.15
2019-04-01,6.5
2019-04-02,6.5
2019-04-03,6.25
2019-04-04,6.0
2019-04-06,6.0
2019-04-07,5.75
2019-04-09,5.4
2019-04-10,5.15
2019-04-11,5.15
2019-04-12,5.15
2019-05-02,6.5
2019-05-03,6.25
2019-05-04,6.0
2019-05-06,6.0
2019-05-07,5.75
2019-05-08,5.75
2019-05-09,5.4
2019-05-11,5.15
2019-05-12,5.15
2019-06-02,6.5
2019-06-03,6.25
2019-06-05,6.0
2019-06-06,5.75
2019-06-08,5.75
2019-06-09,5.4
2019-06-11,5.15
2019-06-12,5.15
2019-07-01,6.5
2019-07-02,6.25
2019-07-03,6.25
2019-07-05,6.0
2019-07-06,5.75
2019-07-08,5.4
2019-07-10,5.15
2019-07-11,5.15
2019-08-01,6.5
2019-08-02,6.25
2019-08-03,6.25
2019-08-04,6.0
2019-08-05,6.0
2019-08-07,5.75
2019-08-08,5.4
2019-08-10,5.15
2019-08-11,5.15
2019-09-01,6.5
2019-09-04,6.0
2019-09-05,6.0
2019-09-07,5.75
2019-09-08,5.4
2019-09-09,5.4
2019-09-10,5.15
2019-09-12,5.15
2019-10-01,6.5
2019-10-04,6.0
2019-10-05,6.0
2019-10-06,5.75
2019-10-07,5.75
2019-10-09,5.4
2019-10-10,5.15
2019-10-12,5.15
2019-11-01,6.5
2019-11-02,6.25
2019-11-03,6.25
