date,risk_free_rate
2015-01-01,
2015-01-02,
2015-01-05,
2015-01-06,
2015-01-07,8.3946
2015-01-08,8.3946
2015-01-09,8.3946
2015-01-12,8.3946
2015-01-13,8.3946
2015-01-14,8.3946
2015-01-15,8.3946
2015-01-16,8.3946
2015-01-19,8.3946
2015-01-20,8.3946
2015-01-21,8.1857
2015-01-22,8.1857
2015-01-23,8.1857
2015-01-26,8.1857
2015-01-27,8.1857
2015-01-28,8.2275
2015-01-29,8.2275
2015-01-30,8.2275
2015-02-02,8.2275
2015-02-03,8.2275
2015-02-04,8.2692
2015-02-05,8.2692
2015-02-06,8.2692
2015-02-09,8.2692
2015-02-10,8.2692
2015-02-11,8.2692
2015-02-12,8.2692
2015-02-13,8.2692
2015-02-16,8.2692
2015-02-17,8.2692
2015-02-18,8.3528
2015-02-19,8.3528
2015-02-20,8.3528
2015-02-23,8.3528
2015-02-24,8.3528
2015-02-25,8.3946
2015-02-26,8.3946
2015-02-27,8.3946
2015-03-02,8.3946
2015-03-03,8.3946
2015-03-04,8.2275
2015-03-05,8.2275
2015-03-06,8.2275
2015-03-09,8.2275
2015-03-10,8.2275
2015-03-11,8.311
2015-03-12,8.311
2015-03-13,8.311
2015-03-16,8.311
2015-03-17,8.311
2015-03-18,8.311
2015-03-19,8.311
2015-03-20,8.311
2015-03-23,8.311
2015-03-24,8.311
2015-03-25,8.2692
2015-03-26,8.2692
2015-03-27,8.2692
2015-03-30,8.2692
2015-03-31,8.2692
2015-04-01,8.2692
2015-04-02,8.2692
2015-04-03,8.2692
2015-04-06,7.8519
2015-04-07,7.8519
2015-04-08,7.8519
2015-04-09,7.8519
2015-04-10,7.8519
2015-04-13,7.8519
2015-04-14,7.8519
2015-04-15,7.8519
2015-04-16,7.8519
2015-04-17,7.8519
2015-04-20,7.8519
2015-04-21,7.8519
2015-04-22,7.8936
2015-04-23,7.8936
2015-04-24,7.8936
2015-04-27,7.8936
2015-04-28,7.8936
2015-04-29,7.9353
2015-04-30,7.9353
2015-05-01,7.9353
2015-05-04,7.9353
2015-05-05,7.9353
2015-05-06,7.977
2015-05-07,7.977
2015-05-08,7.977
2015-05-11,7.977
2015-05-12,7.977
2015-05-13,7.977
2015-05-14,7.977
2015-05-15,7.977
2015-05-18,7.977
2015-05-19,7.977
2015-05-20,7.8936
2015-05-21,7.8936
2015-05-22,7.8936
2015-05-25,7.8936
2015-05-26,7.8936
2015-05-27,7.8519
2015-05-28,7.8519
2015-05-29,7.8519
2015-06-01,7.8519
2015-06-02,7.8519
2015-06-03,7.6851
2015-06-04,7.6851
2015-06-05,7.6851
2015-06-08,7.6851
2015-06-09,7.6851
2015-06-10,7.6851
2015-06-11,7.6851
2015-06-12,7.6851
2015-06-15,7.6851
2015-06-16,7.6851
2015-06-17,7.6851
2015-06-18,7.6851
2015-06-19,7.6851
2015-06-22,7.6851
2015-06-23,7.6851
2015-06-24,7.6851
2015-06-25,7.6851
2015-06-26,7.6851
2015-06-29,7.6851
2015-06-30,7.6851
2015-07-01,7.6851
2015-07-02,7.5602
2015-07-03,7.5602
2015-07-06,7.5602
2015-07-07,7.5602
2015-07-08,7.5186
2015-07-09,7.5186
2015-07-10,7.5186
2015-07-13,7.5186
2015-07-14,7.5186
2015-07-15,7.5186
2015-07-16,7.5186
2015-07-17,7.5186
2015-07-20,7.5186
2015-07-21,7.5186
2015-07-22,7.4769
2015-07-23,7.4769
2015-07-24,7.4769
2015-07-27,7.4769
2015-07-28,7.4769
2015-07-29,7.4769
2015-07-30,7.4769
2015-07-31,7.4769
2015-08-03,7.4769
2015-08-04,7.4769
