date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,SBIN.NS,BHARTIARTL.NS,KOTAKBANK.NS,LT.NS,AXISBANK.NS,ASIANPAINT.NS,MARUTI.NS,BAJFINANCE.NS,HCLTECH.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,NESTLEIND.NS,WIPRO.NS,POWERGRID.NS,NTPC.NS,ONGC.NS,TECHM.NS,JSWSTEEL.NS,TMPV.NS,TATASTEEL.NS,M&M.NS,ADANIENT.NS,ADANIPORTS.NS,COALINDIA.NS,BAJAJFINSV.NS,HDFCLIFE.NS,SBILIFE.NS,DRREDDY.NS,DIVISLAB.NS,CIPLA.NS,EICHERMOT.NS,HEROMOTOCO.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,BRITANNIA.NS,GRASIM.NS,INDUSINDBK.NS,TATACONSUM.NS,UPL.NS,BPCL.NS,IOC.NS,HINDALCO.NS
2015-01-01,2963643,366830,3544940,2002764,2583280,372132,2636761,6138488,2460188,2509980,674298,1351985,284935,299232,756600,1336492,587479,269753,54097,60500,1082549,778837,1478980,1849323,489388,2674400,,26570816,713338,3946806,1456204,540225,293920,,,378210,186924,596787,291150,112464,76848,72928,96950,266598,819116,535692,787731,2893002,2369712,2350082
2015-01-02,7331366,925740,5900384,6778320,8272990,1207322,6853849,9935094,2795887,6318150,1936584,3852825,2080850,233924,1404300,933372,710310,623981,228660,136860,4198953,3612848,2383093,3736468,1025204,3664240,,36043328,1279856,6565229,2894058,969551,435600,,,430070,204160,688999,399730,187675,172991,164726,308986,291180,640249,2043127,3485478,6142290,2576334,2923839
2015-01-05,10103941,1754242,4796000,9937024,10316090,849252,8556295,9136716,1605267,3051150,2176527,2561430,1326999,536747,1446200,2012624,792287,551576,181680,213800,3838601,7291352,2197057,6074619,770804,3392870,,54638866,1456708,9404837,2099786,1857013,315660,,,1468825,121542,1282895,353760,160068,137885,118873,344472,641685,336910,1873161,1455238,6566232,3609636,4830121
2015-01-06,18627980,2423784,8219680,9667316,13282427,2738679,13597291,15329257,3916948,11345430,3048025,5284530,1510720,422743,1378100,3470408,1709888,519159,292468,263180,12396695,8288963,5923512,9024997,1959932,5549800,,64767961,2579114,18412441,3672197,4644316,377240,,,1956675,682896,1615490,481180,457760,164585,580496,228284,812394,485801,2390258,2071117,13121010,6695466,7054029
2015-01-07,20720312,2636332,5746112,7249916,21254332,3744143,12421217,15046745,4899318,17858870,2063635,4245189,1427667,369241,1094700,3540560,1730518,397373,120023,713460,8305581,3256180,5848555,8937670,1331532,5286870,,49846923,2189814,10863352,2981544,2628276,731140,,,1597185,415972,813936,318150,378882,208499,189191,947474,843430,737973,2770541,3720183,7856364,5033676,6638158
2015-01-08,19872227,1565408,9525824,13564920,12558144,3076833,8774566,8939749,7096620,34548830,1455954,5637844,2769416,422022,968600,3906036,943536,672501,249884,150480,7792131,2436600,7564225,6578931,1760940,4780810,,33271702,1672412,7942903,2932673,1779075,872680,,,1394180,124860,1273014,294870,513335,228503,4301348,452894,266021,623621,2292977,2241168,16840194,6903468,3540099
2015-01-09,13392787,3197642,8985184,44863328,15701030,3825060,11224780,11953948,3831782,32187050,1735729,5078463,1708427,194054,1731600,6164448,1766875,985975,334880,409840,13587116,2079643,3778993,13223764,3004040,5046040,,53120660,1532294,12083224,3543488,1442177,327840,,,2968190,152108,2151608,387420,365342,148255,245974,483074,329649,544145,4013444,3090469,10079154,5975934,3743205
2015-01-12,10100113,1596006,4126412,12758888,8304115,4338065,10249032,8536142,2276975,8434210,1535320,2290147,1320557,152803,1177400,2661684,1188646,344364,148064,951140,4421790,3660975,3190536,3157549,3457052,2409440,,28244762,897684,12302379,2990475,3794388,196780,,,1671110,194864,1094136,657230,396343,59612,203022,276782,184597,896776,1647105,1351051,3867444,3371664,4659450
2015-01-13,9948711,1468432,5828348,8801236,13100848,3371700,12071158,9484804,1604173,9608210,1318348,4069260,3835281,237771,1419200,2916072,838422,715002,517233,1102160,6312675,2850708,4515434,7395021,3020512,5067780,,31517083,1478978,7711411,2688701,1654914,580420,,,2453370,112556,1261489,144320,387266,327470,161658,463696,611309,3264664,1558189,6944788,5972538,3154920,4324660
2015-01-14,11380041,1787096,3685232,9921260,13127934,4578199,16849719,8855660,3415213,7592900,1476891,2973231,2320114,429069,41759300,4133276,996066,404068,537834,748060,9723858,3939014,2736211,6704722,1642216,5881870,,74832453,2831716,6088603,2272652,1186130,2587050,,,1656545,256164,1033679,157940,503348,338840,217775,658212,347284,1238612,1383172,4317558,7112274,6252006,13580758
