feature,mean_abs_shap
betavol_60,0.028046615
betavol_trend,0.020527128
betavol_30,0.013210392
market_vol_60d,0.0074214377
betavol_120,0.003676375
combined_flow,0.003577073
beta_60_30_spread,0.0027529486
beta_120,0.00233202
vix_zscore,0.00216122
rfr,0.0013549151
dii_net,0.0011926108
stock_vol_20d,0.0011403
fii_net,0.001002809
rate_spread,0.00092069636
mom_63d,0.0009121595
mom_252d,0.0009086789
beta_30,0.00089180906
market_vol_20d,0.00087800564
vix_20d_chg,0.00086407334
crude_20d_vol,0.00081201014
vix_level,0.000721017
mom_126d,0.00054631877
usdinr_20d_vol,0.0005333536
beta_60,0.0005323039
ma200_dist,0.00047153406
fmcg_mom_10d,0.0003677949
fii_dii_ratio,0.00034287226
rvol_20d,0.00025364716
vix_5d_chg,0.00023847967
mom_21d,0.00021203225
stock_ret_5d,0.00020872428
crude_5d_chg,0.00020832915
stock_vs_mkt,0.00018019028
rsi_14,0.00015217165
market_ret_20d,0.00013977675
repo_rate,0.00011336526
it_mom_10d,0.00010204485
bank_mom_10d,7.318502e-05
bank_vs_nifty,4.2680138e-05
vix_above_25,2.0818594e-05
usdinr_5d_chg,1.651317e-05
market_ret_5d,7.3369765e-06
