event,strategy,Cumulative Return (%),Max Drawdown (%)
COVID Crash,adaptive_beta,-7.18,-8.97
COVID Crash,static_capm_mvo,-10.42,-35.33
COVID Crash,kalman_mvo,-10.56,-35.44
COVID Crash,equal_weight,-18.94,-37.63
COVID Crash,buy_hold_nifty,-17.57,-37.63
COVID Crash,momentum_quality,-15.47,-38.51
ADANI Crisis,adaptive_beta,-6.66,-5.87
ADANI Crisis,static_capm_mvo,-10.19,-13.71
ADANI Crisis,kalman_mvo,-11.07,-14.25
ADANI Crisis,equal_weight,-6.66,-5.87
ADANI Crisis,buy_hold_nifty,-6.33,-5.9
ADANI Crisis,momentum_quality,-6.56,-7.08
2018 Rate Hike,adaptive_beta,-7.51,-12.86
2018 Rate Hike,static_capm_mvo,-9.61,-14.33
2018 Rate Hike,kalman_mvo,-9.86,-14.43
2018 Rate Hike,equal_weight,-7.51,-12.86
2018 Rate Hike,buy_hold_nifty,-6.88,-13.45
2018 Rate Hike,momentum_quality,-8.75,-12.44
IL&FS Crisis,adaptive_beta,-6.01,-13.54
IL&FS Crisis,static_capm_mvo,-7.91,-15.85
IL&FS Crisis,kalman_mvo,-7.89,-15.9
IL&FS Crisis,equal_weight,-6.01,-13.54
IL&FS Crisis,buy_hold_nifty,-8.54,-14.55
IL&FS Crisis,momentum_quality,-6.42,-13.84
